date,phong_ban,sum_duration
2020-02-26,wo_vt_cntt,76656.0
2020-02-26,wo_noc,13170.82
2020-02-26,wo_others,101981.51
2020-02-26,wo_ksnn,35639.94
2020-02-26,wo_co_dien,54409.44
2020-02-27,wo_noc,13376.12
2020-02-27,wo_co_dien,44191.2
2020-02-27,wo_vt_cntt,76656.0
2020-02-27,wo_ktts,24.0
2020-02-27,wo_ksnn,36429.95
2020-02-27,wo_others,89072.58
2020-02-28,wo_ktts,24.0
2020-02-28,wo_vt_cntt,76656.0
2020-02-28,wo_ksnn,36345.58
2020-02-28,wo_co_dien,34208.37
2020-02-28,wo_others,78834.55
2020-02-28,wo_noc,13376.15
2020-02-29,wo_ktts,24.0
2020-02-29,wo_vt_cntt,76656.0
2020-02-29,wo_noc,13552.08
2020-02-29,wo_co_dien,23382.71
2020-02-29,wo_ksnn,35946.49
2020-02-29,wo_others,75433.31
2020-03-01,wo_ktts,24.0
2020-03-01,wo_ksnn,34761.09
2020-03-01,wo_others,71592.83
2020-03-01,wo_noc,14839.42
2020-03-01,wo_co_dien,46688.95
2020-03-01,wo_vt_cntt,76656.0
2020-03-02,wo_others,71018.54
2020-03-02,wo_ksnn,35208.24
2020-03-02,wo_noc,14895.45
2020-03-02,wo_ktts,24.0
2020-03-02,wo_co_dien,140763.77
2020-03-02,wo_vt_cntt,76656.0
2020-03-03,wo_others,74301.37
2020-03-03,wo_ksnn,36184.29
2020-03-03,wo_ktts,24.0
2020-03-03,wo_noc,15296.02
2020-03-03,wo_vt_cntt,76633.24
2020-03-03,wo_co_dien,142140.29
2020-03-04,wo_vt_cntt,76604.96
2020-03-04,wo_noc,15236.94
2020-03-04,wo_co_dien,140692.36
2020-03-04,wo_ktts,24.0
2020-03-04,wo_ksnn,36351.85
2020-03-04,wo_others,141248.15
2020-03-05,wo_noc,15296.08
2020-03-05,wo_vt_cntt,76584.0
2020-03-05,wo_co_dien,138347.26
2020-03-05,wo_ktts,24.0
2020-03-05,wo_ksnn,36109.86
2020-03-05,wo_others,168615.73
2020-03-06,wo_ksnn,35643.48
2020-03-06,wo_noc,15471.52
2020-03-06,wo_others,201598.3
2020-03-06,wo_ktts,24.0
2020-03-06,wo_co_dien,135164.58
2020-03-06,wo_vt_cntt,76584.0
2020-03-07,wo_ktts,24.0
2020-03-07,wo_co_dien,132900.05
2020-03-07,wo_vt_cntt,76584.0
2020-03-07,wo_others,201941.21
2020-03-07,wo_ksnn,35085.13
2020-03-07,wo_noc,16030.4
2020-03-08,wo_noc,16413.41
2020-03-08,wo_co_dien,131620.07
2020-03-08,wo_vt_cntt,76584.0
2020-03-08,wo_ktts,24.0
