2024/03/08 10:35:10 app,line: 28     INFO | NumberRequest: 1
2024/03/08 10:38:22 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 10:38:22 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 10:38:25 app,line: 25     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:38:25 app,line: 26     INFO | NumberRequest: 1
2024/03/08 10:38:28 app,line: 28     INFO | result: {'co_dien': [6895.4248046875, 1120059.5, 1739748.125, 1958485.5, 2039386.875], 'ksnn': [55869.31640625, 2392439.75, 2783711.0, 2835045.5, 2849420.0], 'noc': [9760.1298828125, 245590.15625, 316593.90625, 329446.28125, 332873.9375], 'others': [26849.23046875, 3467594.25, 4398254.0, 4529863.5, 4554177.0]}
2024/03/08 13:56:37 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 13:56:37 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:33:10 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:33:10 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:34:05 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:34:05 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:36:02 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:36:02 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:38:27 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:38:27 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:39:05 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:39:05 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:39:36 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:39:36 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:40:49 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:40:49 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:43:20 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 14:43:20 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 14:43:37 app,line: 25     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 14:43:37 app,line: 26     INFO | NumberRequest: 1
2024/03/08 14:43:40 app,line: 28     INFO | result: {'co_dien': [6895.4248046875, 1120059.5, 1739748.125, 1958485.5, 2039386.875], 'ksnn': [55869.31640625, 2392439.75, 2783711.0, 2835045.5, 2849420.0], 'noc': [9760.1298828125, 245590.15625, 316593.90625, 329446.28125, 332873.9375], 'others': [26849.23046875, 3467594.25, 4398254.0, 4529863.5, 4554177.0]}
