,date,phong_ban,sum_duration
200,2020-02-10,wo_others,22513.59
201,2020-06-19,wo_co_dien,172389.04
202,2020-06-22,wo_co_dien,168727.7
203,2020-10-23,wo_others,337768.36
204,2020-05-17,wo_noc,16852.32
205,2020-07-27,wo_ksnn,40545.55
206,2020-12-16,wo_ksnn,60616.03
207,2020-12-27,wo_ksnn,79415.86
208,2020-08-07,wo_vt_cntt,192.0
209,2020-10-01,wo_vt_cntt,192.0
210,2020-04-11,wo_vt_cntt,120.0
211,2020-05-01,wo_noc,8886.55
212,2020-09-07,wo_others,386726.2
213,2020-10-09,wo_others,423854.49
214,2020-07-23,wo_noc,24354.23
215,2020-09-13,wo_noc,21340.22
216,2020-12-11,wo_noc,22617.59
217,2020-07-11,wo_ksnn,50723.37
218,2020-05-25,wo_vt_cntt,144.0
219,2020-06-14,wo_vt_cntt,144.0
220,2020-06-17,wo_vt_cntt,144.0
221,2020-11-12,wo_vt_cntt,168.0
222,2020-12-06,wo_vt_cntt,168.0
223,2020-09-25,wo_ktts,360.0
224,2020-10-30,wo_ktts,360.0
225,2020-12-22,wo_ktts,384.0
226,2020-12-28,wo_ktts,384.0
227,2020-02-01,wo_others,14821.08
228,2020-03-17,wo_vt_cntt,76167.19
229,2020-03-21,wo_noc,13157.99
230,2020-06-04,wo_others,214036.71
231,2020-07-06,wo_vt_cntt,144.0
232,2020-06-11,wo_ktts,96.0
233,2020-07-01,wo_ktts,120.0
234,2020-03-11,wo_vt_cntt,76248.0
235,2020-02-28,wo_others,78834.55
236,2020-07-10,wo_others,227769.68
237,2020-12-01,wo_others,244479.12
238,2020-12-09,wo_noc,23381.43
239,2020-06-22,wo_ksnn,43310.24
240,2020-07-04,wo_ksnn,34685.46
241,2020-07-13,wo_vt_cntt,144.0
242,2020-10-21,wo_vt_cntt,192.0
243,2020-03-30,wo_ksnn,33542.79
244,2020-02-25,wo_vt_cntt,76656.0
245,2020-03-18,wo_co_dien,98295.37
246,2020-04-11,wo_others,107671.74
247,2020-04-01,wo_ksnn,34503.61
248,2020-05-22,wo_others,273751.28
249,2020-10-17,wo_noc,18949.39
250,2020-12-31,wo_noc,23127.08
251,2020-12-10,wo_ksnn,74151.28
252,2020-05-01,wo_vt_cntt,144.0
253,2020-05-22,wo_vt_cntt,144.0
254,2020-06-09,wo_vt_cntt,144.0
255,2020-09-18,wo_ktts,360.0
256,2020-12-01,wo_ktts,384.0
257,2020-01-13,wo_co_dien,165712.54
258,2020-02-18,wo_ktts,24.0
259,2020-04-02,wo_noc,13451.28
260,2020-06-24,wo_co_dien,164213.08
261,2020-08-29,wo_others,263067.81
262,2020-06-18,wo_noc,21934.69
263,2020-09-19,wo_noc,20841.1
264,2020-12-13,wo_ksnn,62058.32
265,2020-12-16,wo_vt_cntt,144.0
266,2020-06-22,wo_ktts,96.0
267,2020-02-01,wo_vt_cntt,82748.48
268,2020-03-28,wo_vt_cntt,39873.77
269,2020-02-22,wo_others,126507.22
270,2020-01-20,wo_noc,24048.65
271,2020-03-01,wo_noc,14839.42
272,2020-04-28,wo_noc,9262.24
273,2020-11-20,wo_noc,20870.37
274,2020-06-03,wo_ksnn,30690.18
275,2020-06-09,wo_ksnn,24792.26
276,2020-03-17,wo_co_dien,101265.82
277,2020-04-09,wo_vt_cntt,144.0
278,2020-10-25,wo_vt_cntt,182.87
279,2020-11-17,wo_co_dien,136417.86
